location,Company,Model,ModelType,Year,Kms,Fuel,Car_Type,Transmission,Color,No_of_owner,RTO,Insurance,Price
Pune,Maruti Suzuki,S-Cross,Zeta 1.3,May 2019,"8,798",Diesel,Manual,Manual,Blue,First,Solapur,"Comprehensive , till 23 Apr 2022",₹ 10 Lakh
Pune,Maruti Suzuki,A-Star,Vxi (ABS) AT,Feb 2013,"27,631",Petrol,Automatic,Automatic,Silver,First,Pune,"Third Party , till 17 Aug 2022",₹ 3.05 Lakh
Pune,Honda,City,VX CVT,Jun 2018,"9,800",Petrol,Automatic,Automatic,Grey,First,Not Available,Third Party,₹ 11.25 Lakh
Hyderabad,Ford,Ecosport,Titanium 1.5 TDCi (Opt),Oct 2013,"1,04,041",Diesel,Manual,Manual,White,First,MEDCHAL,Not Available,₹ 5.85 Lakh
Hyderabad,Maruti Suzuki,Ertiga,VDi,Jun 2012,"88,485",Diesel,Manual,Manual,Blue,First,Not Available,Not Available,₹ 5.9 Lakh
Hyderabad,Maruti Suzuki,Ertiga,ZDi,Jun 2013,"91,259",Diesel,Manual,Manual,Grey,First,Not Available,Not Available,₹ 6.25 Lakh
Hyderabad,Hyundai,i10,Sportz 1.2 Kappa2,Apr 2014,"19,673",Petrol,Manual,Manual,Grey,First,Hyderabad,"Comprehensive , till 10 May 2022",₹ 4.25 Lakh
Hyderabad,Hyundai,Verna,VGT CRDi ABS,Jun 2010,"75,456",Diesel,Manual,Manual,Silver,Second,Not Available,Not Available,₹ 3.75 Lakh
Hyderabad,Maruti Suzuki,Eeco,5 STR [2014-2019],Jun 2010,"40,689",Petrol,Manual,Manual,Silver,First,Not Available,Not Available,₹ 2.7 Lakh
Pune,Honda,City,1.5 GXi,Jun 2004,"99,000",Petrol,Manual,Manual,Gold,First,Not Available,Comprehensive,₹ 1.41 Lakh
Pune,Honda,CR-V,2.4 AT,Jun 2004,"52,898",Petrol,Automatic,Automatic,Silver,Second,Not Available,Third Party,₹ 2.21 Lakh
Pune,Hyundai,Santro,XP,Jun 2007,"1,19,000",Petrol,Manual,Manual,White,First,Not Available,Not Available,₹ 1.3 Lakh
Hyderabad,Maruti Suzuki,Swift,VDi,Jun 2009,"1,14,404",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 3.2 Lakh
Ahmedabad,Maruti Suzuki,Ritz,VXI BS-IV,Jul 2011,"16,500",Petrol,Manual,Manual,Silver,First,Not Available,"Comprehensive , till 29 Jun 2022",₹ 2.9 Lakh
Ahmedabad,Honda,City,VX (O) MT,Feb 2016,"65,151",Petrol,Manual,Manual,White,First,Ahmedabad,"Comprehensive , till 01 Mar 2022",₹ 7.4 Lakh
Ahmedabad,Honda,Jazz,V Petrol,Jan 2017,"39,123",Petrol,Manual,Manual,Red,First,Ahmedabad,"Comprehensive , till 15 Feb 2022",₹ 5.9 Lakh
Ahmedabad,Tata,Nexon,XZ Plus,Sep 2020,"7,500",Petrol,Manual,Manual,Green,First,Not Available,"Comprehensive , till 16 Sep 2021",₹ 10.9 Lakh
Ahmedabad,Toyota,Innova,2.8 ZX AT 7 STR [2016-2020],Mar 2018,"44,000",Diesel,Automatic,Automatic,Bronze,First,Not Available,"Comprehensive , till 19 Feb 2022",₹ 19.75 Lakh
Ahmedabad,Tata,Hexa,XM 4x2 7 STR,Nov 2017,"48,700",Diesel,Manual,Manual,Grey,First,Not Available,Not Available,₹ 9.75 Lakh
Bangalore,Hyundai,Elite i20,Asta 1.2 (O) [2016],Sep 2017,"23,023",Petrol,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 6.78 Lakh
Pune,Nissan,Micra,XV,May 2015,"52,718",Petrol,Manual,Manual,Red,First,Pimpri Chinchwad,"Comprehensive , till 25 Jul 2022",₹ 3.87 Lakh
